player_name,ave_score,sr,balls_faced,hundreds/innings,fifties/innings,fours_rate,six_rate,vulnerability
Dinesh Karthik,27.01,132.55,3790,0.0,0.11160714285714286,0.13113456464379947,0.03799472295514512,0.04907651715039578
Shivil Kaushik,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0
Dhawal Kulkarni,12.71,99.44,179,0.0,0.0,0.0670391061452514,0.0223463687150838,0.0782122905027933
Praveen Kumar,12.26,115.65,594,0.0,0.011627906976744186,0.08754208754208755,0.05218855218855219,0.09427609427609428
Brendon McCullum,30.25,137.21,7011,0.019943019943019943,0.1452991452991453,0.1286549707602339,0.06746541149622022,0.04535729567821994
Pradeep Sangwan,11.19,109.3,215,0.0,0.0,0.10232558139534884,0.03255813953488372,0.09767441860465116
Jaydev Shah,16.2,107.61,512,0.0,0.0,0.103515625,0.0390625,0.06640625
Umang Sharma,20.31,135.43,285,0.0,0.045454545454545456,0.11228070175438597,0.05964912280701754,0.06666666666666667
Dwayne Smith,26.63,127.61,6094,0.015723270440251572,0.14465408805031446,0.12307187397440104,0.06104364949130292,0.04791598293403348
Dale Steyn,8.33,110.88,248,0.0,0.0,0.08870967741935484,0.03225806451612903,0.13306451612903225
Pravin Tambe,9.5,52.77,72,0.0,0.0,0.013888888888888888,0.013888888888888888,0.05555555555555555
Andrew Tye,11.22,117.44,258,0.0,0.0,0.06589147286821706,0.06589147286821706,0.10465116279069768
Murali Vijay,25.43,121.55,3076,0.013157894736842105,0.13157894736842105,0.11280884265279584,0.043237971391417426,0.04778933680104031
Kyle Abbott,12.15,108.96,212,0.0,0.0,0.07075471698113207,0.0330188679245283,0.08962264150943396
Hashim Amla,33.23,128.82,3199,0.014492753623188406,0.1956521739130435,0.13723038449515473,0.02782119412316349,0.03876211316036261
Anureet Singh,12.28,104.24,165,0.0,0.0,0.06666666666666667,0.04242424242424243,0.08484848484848485
Armaan Jaffer,27.0,168.75,16,0.0,0.0,0.25,0.0625,0.0625
Farhaan Behardien,37.2,134.31,2133,0.0,0.08461538461538462,0.08204406938584154,0.053445850914205346,0.03609939052977028
KC Cariappa,7.0,80.76,26,0.0,0.0,0.0,0.038461538461538464,0.11538461538461539
Rishi Dhawan,31.0,114.15,869,0.0,0.03333333333333333,0.1047180667433832,0.01726121979286536,0.03682393555811277
Gurkeerat Singh Mann,20.9,123.12,934,0.0,0.07462686567164178,0.1349036402569593,0.034261241970021415,0.058886509635974305
Mitchell Johnson,12.8,105.26,304,0.0,0.0,0.0756578947368421,0.03289473684210526,0.08223684210526316
David Miller,36.15,139.01,4265,0.0125,0.1125,0.10128956623681125,0.06049237983587339,0.0384525205158265
Nikhil Naik,25.54,128.89,436,0.0,0.16,0.08944954128440367,0.052752293577981654,0.05045871559633028
Axar Patel,20.27,131.71,785,0.0,0.0,0.07898089171974522,0.05987261146496815,0.06496815286624204
Wriddhiman Saha,24.27,130.21,2181,0.006756756756756757,0.0945945945945946,0.11508482347546997,0.04585052728106373,0.05364511691884457
Pardeep Sahu,19.14,113.55,118,0.0,0.0,0.07627118644067797,0.03389830508474576,0.059322033898305086
Sandeep Sharma,12.2,89.7,68,0.0,0.0,0.07352941176470588,0.0,0.07352941176470588
Mohit Sharma,8.35,105.18,135,0.0,0.0,0.06666666666666667,0.037037037037037035,0.1259259259259259
Swapnil Singh,21.43,127.98,268,0.0,0.0,0.07835820895522388,0.06343283582089553,0.05970149253731343
Shardul Thakur,6.75,125.58,43,0.0,0.0,0.11627906976744186,0.023255813953488372,0.18604651162790697
Manan Vohra,26.07,127.36,1597,0.0,0.13414634146341464,0.1308703819661866,0.040701314965560426,0.048841577958672514
Shaun Marsh,39.22,128.62,4269,0.012269938650306749,0.25766871165644173,0.125556336378543,0.040758959943780745,0.03279456547200749
Glenn Maxwell,25.16,155.55,2961,0.00966183574879227,0.1111111111111111,0.13103681188787572,0.08071597433299561,0.06180344478216818
Marcus Stoinis,21.06,119.84,756,0.0,0.05454545454545454,0.09126984126984126,0.03439153439153439,0.056878306878306875
Gautam Gambhir,28.96,120.58,5309,0.0,0.2163265306122449,0.14070446411753626,0.016952345074401957,0.04162742512714259
Piyush Chawla,14.38,121.92,944,0.0,0.0,0.1038135593220339,0.04449152542372881,0.0847457627118644
Brad Hogg,15.26,105.4,333,0.0,0.02127659574468085,0.05405405405405406,0.024024024024024024,0.06906906906906907
Jason Holder,14.83,128.11,498,0.0,0.01694915254237288,0.09437751004016064,0.0642570281124498,0.08634538152610442
Sheldon Jackson,19.62,104.01,698,0.0,0.075,0.11174785100286533,0.027220630372492838,0.05300859598853868
Kuldeep Yadav,15.0,88.23,102,0.0,0.0,0.0784313725490196,0.0,0.058823529411764705
Chris Lynn,32.94,144.1,2469,0.008,0.184,0.11421628189550426,0.08221952207371405,0.04374240583232078
Manan Sharma,16.37,79.39,165,0.0,0.0,0.05454545454545454,0.012121212121212121,0.048484848484848485
Morne Morkel,9.0,113.11,183,0.0,0.0,0.08743169398907104,0.03825136612021858,0.12568306010928962
Colin Munro,30.39,147.09,3223,0.02185792349726776,0.14754098360655737,0.11635122556624262,0.0816009928637915,0.048402109835556935
Sunil Narine,14.35,147.04,1152,0.0,0.03821656050955414,0.13368055555555555,0.0876736111111111,0.10243055555555555
Manish Pandey,28.37,119.25,3474,0.005555555555555556,0.1111111111111111,0.10046056419113414,0.03223949337938975,0.042026482440990214
Yusuf Pathan,27.64,142.57,3199,0.0045662100456621,0.0958904109589041,0.11253516723976242,0.07252266333229133,0.051578618318224446
Ankit Rajpoot,4.83,67.44,43,0.0,0.0,0.09302325581395349,0.0,0.13953488372093023
Andre Russell,24.44,167.35,2454,0.009009009009009009,0.05855855855855856,0.11532192339038305,0.12306438467807661,0.06845965770171149
Rajagopal Sathish,19.0,128.92,560,0.0,0.0,0.11071428571428571,0.04107142857142857,0.06785714285714285
Shakib Al Hasan,20.71,122.25,3558,0.0,0.05952380952380952,0.11270376616076447,0.03147835862844295,0.05902192242833052
Shaun Tait,5.82,81.09,201,0.0,0.0,0.03980099502487562,0.03482587064676617,0.13930348258706468
Jaydev Unadkat,15.05,127.36,201,0.0,0.0,0.07960199004975124,0.06467661691542288,0.0845771144278607
Robin Uthappa,28.77,134.56,4383,0.0,0.14666666666666667,0.1375770020533881,0.04677161761350673,0.04677161761350673
Suryakumar Yadav,26.6,134.9,1361,0.0,0.07368421052631578,0.1278471711976488,0.04922850844966936,0.050698016164584865
Umesh Yadav,8.12,108.33,120,0.0,0.0,0.075,0.058333333333333334,0.13333333333333333
John Hastings,16.86,154.4,568,0.0,0.04054054054054054,0.10915492957746478,0.09154929577464789,0.09154929577464789
Rohit Sharma,32.4,133.11,5672,0.018050541516245487,0.18772563176895307,0.1156558533145275,0.05518335684062059,0.04107898448519041
Corey Anderson,27.49,142.93,1635,0.0,0.09433962264150944,0.09357798165137615,0.08623853211009175,0.05198776758409786
Jasprit Bumrah,9.85,90.78,76,0.0,0.0,0.05263157894736842,0.039473684210526314,0.09210526315789473
Jos Buttler,29.79,144.54,3545,0.0,0.15492957746478872,0.11988716502115655,0.06064880112834979,0.04851904090267983
Unmukt Chand,21.72,114.91,1153,0.046153846153846156,0.046153846153846156,0.10841283607979185,0.047701647875108416,0.05290546400693842
Marchant de Lange,11.35,133.61,119,0.0,0.0,0.11764705882352941,0.04201680672268908,0.11764705882352941
Shreyas Gopal,17.0,115.03,133,0.0,0.0,0.08270676691729323,0.03007518796992481,0.06766917293233082
Martin Guptill,32.62,128.21,4810,0.019230769230769232,0.19230769230769232,0.11101871101871102,0.0550935550935551,0.039293139293139295
Harbhajan Singh,15.01,130.06,1154,0.0,0.013422818791946308,0.12218370883882149,0.0632582322357019,0.08665511265164645
Siddhesh Lad,29.0,120.51,385,0.0,0.1,0.11688311688311688,0.033766233766233764,0.04155844155844156
Mitchell McClenaghan,6.67,121.76,170,0.0,0.0,0.07647058823529412,0.07058823529411765,0.18235294117647058
Hardik Pandya,26.23,131.86,1293,0.0,0.06382978723404255,0.08662026295436968,0.07037896365042537,0.050270688321732405
Krunal Pandya,26.86,146.96,658,0.0,0.04,0.1276595744680851,0.06231003039513678,0.0547112462006079
Parthiv Patel,22.87,122.43,3120,0.0,0.11731843575418995,0.1580128205128205,0.021474358974358974,0.05352564102564102
Kieron Pollard,30.28,151.11,5632,0.002577319587628866,0.10824742268041238,0.09730113636363637,0.09765625,0.04989346590909091
Deepak Punia,17.0,112.08,91,0.0,0.0,0.054945054945054944,0.054945054945054944,0.06593406593406594
Nitish Rana,27.31,135.63,1027,0.0,0.14035087719298245,0.11295034079844206,0.07108081791626096,0.04965920155793573
Ambati Rayudu,26.46,125.96,3362,0.005434782608695652,0.125,0.10707911957168352,0.044021415823914334,0.04759071980963712
Jitesh Sharma,28.28,131.9,536,0.04,0.2,0.15485074626865672,0.027985074626865673,0.04664179104477612
Nathu Singh,0.5,20.0,5,0.0,0.0,0.0,0.0,0.4
Tim Southee,11.76,150.11,439,0.0,0.02531645569620253,0.12300683371298406,0.07972665148063782,0.1275626423690205
Jagadeesha Suchith,11.33,115.9,88,0.0,0.0,0.06818181818181818,0.045454545454545456,0.10227272727272728
Jerome Taylor,10.36,117.52,194,0.0,0.0,0.08247422680412371,0.061855670103092786,0.1134020618556701
Vinay Kumar,15.1,125.62,601,0.0,0.012345679012345678,0.08818635607321132,0.04991680532445923,0.08319467554076539
Akshay Wakhare,11.16,111.66,60,0.0,0.0,0.08333333333333333,0.03333333333333333,0.1
Lasith Malinga,7.76,102.29,349,0.0,0.0,0.0659025787965616,0.054441260744985676,0.1318051575931232
Lendl Simmons,29.11,115.82,4877,0.004629629629629629,0.19907407407407407,0.10928849702686078,0.04633996309206479,0.039778552388763586
MS Dhoni,38.44,136.18,4461,0.0,0.09022556390977443,0.0941492938802959,0.05985205110961668,0.0354180676978256
Ankit Sharma,10.75,111.2,232,0.0,0.0,0.10344827586206896,0.034482758620689655,0.10344827586206896
Baba Aparajith,23.92,107.3,602,0.0,0.03225806451612903,0.08471760797342193,0.019933554817275746,0.044850498338870434
Murugan Ashwin,9.25,84.09,88,0.0,0.0,0.03409090909090909,0.022727272727272728,0.09090909090909091
Ravichandran Ashwin,13.97,114.64,512,0.0,0.0,0.103515625,0.02734375,0.08203125
George Bailey,28.27,129.21,2779,0.0,0.11976047904191617,0.1104713925872616,0.03670385030586542,0.0456998920474991
